Variable,Label,N,Mean,SD,Min,Q1,Median,Q3,Max,Skewness,Kurtosis
engagement,Engagement (raw),766,45.17232375979112,203.18490646063404,0.0,1.0,4.0,19.0,2474.0,7.672699955441327,66.64131681125617
log_engagement,log(1+Engagement),766,1.9420163327136353,1.5718440162287461,0.0,0.6931471805599453,1.6094379124341003,2.995732273553991,7.813995675002791,1.0009924990032542,1.0130962094909481
length,Text Length (words),766,23.453002610966056,12.25704055880227,0.0,14.0,22.0,33.0,53.0,0.23936510060640218,-0.986527731252774
question,Question Mark (0/1),766,0.1671018276762402,0.37331051410905597,0.0,0.0,0.0,0.0,1.0,1.7846573786717854,1.1850019592476473
valence,Emotional Valence,766,0.7894022193211488,1.527870595729033,-3.3519,0.0,0.0,2.04645,3.9483,0.37045264108797044,0.09717636543645902
hashtag,Hashtag Count,766,0.14490861618798956,0.48898339734587365,0.0,0.0,0.0,0.0,3.0,3.8166894636625526,15.175266419362977
emoji,Emoji Count,766,0.3981723237597911,0.8838104085376911,0.0,0.0,0.0,1.0,13.0,5.261356102419584,56.03754246837885
picture,Picture (0/1),766,0.28720626631853785,0.4527542746519175,0.0,0.0,0.0,1.0,1.0,0.9406107509212214,-1.115251415251416
url,URL (0/1),766,0.6984334203655352,0.45923795945511187,0.0,0.0,1.0,1.0,1.0,-0.8647502627648604,-1.2522069830481046
at_mention,At-Mention (0/1),766,0.07963446475195822,0.27090334877822314,0.0,0.0,0.0,0.0,1.0,3.10546322983792,7.64390187187537
